UNIT NAME,INR,UNIT CODE,COUNTY,FUEL,ZONE,IN SERVICE,INSTALLED CAPACITY RATING (MW),SPRING CAPACITY (MW)
EVAL STORAGE,22INR0401,,CAMERON,STORAGE,COASTAL,2025.0,0.0,0.0
CAMERON STORAGE (SABAL STORAGE),22INR0398,CAMWIND_BESS1,CAMERON,STORAGE,COASTAL,2023.0,16.67,16.4
BRP CACHI BESS,22INR0388,,GUADALUPE,STORAGE,SOUTH,2024.0,0.0,0.0
BRP PAVO BESS,22INR0384,,PECOS,STORAGE,WEST,2024.0,0.0,0.0
INERTIA BESS 2,22INR0375,,HASKELL,STORAGE,WEST,2025.0,0.0,0.0
INERTIA SOLAR,22INR0374,,HASKELL,SOLAR,WEST,2026.0,0.0,0.0
BRP HYDRA BESS,22INR0372,,PECOS,STORAGE,WEST,2024.0,0.0,0.0
PADUA GRID BESS,22INR0368,,BEXAR,STORAGE,SOUTH,2024.0,0.0,0.0
BRP LIBRA BESS,22INR0366,LBRA_ESS_BES1,GUADALUPE,STORAGE,SOUTH,2024.0,201.02,200.0
HAYHURST TEXAS SOLAR,22INR0363,,CULBERSON,SOLAR,WEST,2024.0,0.0,0.0
JADE SOLAR U1,22INR0360,JADE_SLR_UNIT1,SCURRY,SOLAR,WEST,2023.0,158.8,158.0
JADE SOLAR U2,22INR0360,JADE_SLR_UNIT2,SCURRY,SOLAR,WEST,2023.0,162.4,162.0
JUNGMANN SOLAR,22INR0356,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
XE MURAT SOLAR,22INR0354,,HARRIS,SOLAR,HOUSTON,2024.0,0.0,0.0
BRP CARINA BESS,22INR0353,,NUECES,STORAGE,COASTAL,2024.0,0.0,0.0
SPARTA SOLAR U1,22INR0352,SPARTA_UNIT1,BEE,SOLAR,SOUTH,2024.0,146.0,146.0
SPARTA SOLAR U2,22INR0352,SPARTA_UNIT2,BEE,SOLAR,SOUTH,2024.0,104.0,104.0
SPARTA SOLAR,22INR0352,,BEE,SOLAR,SOUTH,2024.0,252.4,252.4
BRP ANTLIA BESS,22INR0349,,VAL VERDE,STORAGE,WEST,2024.0,0.0,0.0
MATAGORDA SOLAR,22INR0342,,MATAGORDA,SOLAR,COASTAL,2025.0,0.0,0.0
LIMOUSIN OAK STORAGE,22INR0338,,GRIMES,STORAGE,NORTH,2024.0,0.0,0.0
ESTONIAN ENERGY STORAGE,22INR0336,,DELTA,STORAGE,NORTH,2024.0,0.0,0.0
ESTONIAN SOLAR FARM,22INR0335,,DELTA,SOLAR,NORTH,2024.0,0.0,0.0
INERTIA BESS,22INR0328,,HASKELL,STORAGE,WEST,2024.0,0.0,0.0
HUMMINGBIRD STORAGE,22INR0327,,DENTON,STORAGE,NORTH,2024.0,100.0,100.0
BRP DICKENS BESS,22INR0325,,DICKENS,STORAGE,PANHANDLE,2024.0,0.0,0.0
BRP PALEO BESS,22INR0322,,HALE,STORAGE,PANHANDLE,2024.0,0.0,0.0
DESERT VINE SOLAR,22INR0307,,ZAPATA,SOLAR,SOUTH,2024.0,0.0,0.0
BRIGHT ARROW STORAGE U1,22INR0302,BR_ARROW_BESS1,HOPKINS,STORAGE,NORTH,2024.0,51.78,51.8
BRIGHT ARROW STORAGE U2,22INR0302,BR_ARROW_BESS2,HOPKINS,STORAGE,NORTH,2024.0,51.78,51.8
CORAL SOLAR U1,22INR0295,CORALSLR_SOLAR1,FALLS,SOLAR,NORTH,2024.0,97.7,96.2
CORAL SOLAR U2,22INR0295,CORALSLR_SOLAR2,FALLS,SOLAR,NORTH,2024.0,56.3,55.4
PEREGRINE SOLAR,22INR0283,,GOLIAD,SOLAR,SOUTH,2024.0,0.0,0.0
PINK SOLAR,22INR0281,,HUNT,SOLAR,NORTH,2025.0,0.0,0.0
CLUTCH CITY SOLAR,22INR0279,,BRAZORIA,SOLAR,COASTAL,2026.0,0.0,0.0
CROWDED STAR SOLAR II,22INR0274,,JONES,SOLAR,WEST,2026.0,0.0,0.0
BRASS FORK SOLAR,22INR0270,,HASKELL,SOLAR,WEST,2025.0,0.0,0.0
SHAULA II SOLAR,22INR0267,,DEWITT,SOLAR,SOUTH,2026.0,0.0,0.0
DEVILLE SOLAR,22INR0262,,CALLAHAN,SOLAR,WEST,2025.0,0.0,0.0
DORADO SOLAR,22INR0261,,CALLAHAN,SOLAR,WEST,2025.0,0.0,0.0
ELIZA STORAGE,22INR0260,,KAUFMAN,STORAGE,NORTH,2024.0,0.0,0.0
CORAZON SOLAR PHASE II,22INR0257,,WEBB,SOLAR,SOUTH,2025.0,0.0,0.0
PISGAH RIDGE SOLAR U1,22INR0254,PISGAH_SOLAR1,NAVARRO,SOLAR,NORTH,2024.0,189.4,186.5
PISGAH RIDGE SOLAR U2,22INR0254,PISGAH_SOLAR2,NAVARRO,SOLAR,NORTH,2024.0,64.4,63.5
SHAULA I SOLAR,22INR0251,,DEWITT,SOLAR,SOUTH,2025.0,0.0,0.0
BRIGHT ARROW SOLAR U1,22INR0242,BR_ARROW_UNIT1,HOPKINS,SOLAR,NORTH,2024.0,127.3,127.0
BRIGHT ARROW SOLAR U2,22INR0242,BR_ARROW_UNIT2,HOPKINS,SOLAR,NORTH,2024.0,173.9,173.0
SCHOOLHOUSE SOLAR,22INR0211,,LEE,SOLAR,SOUTH,2025.0,0.0,0.0
SBRANCH SOLAR PROJECT,22INR0205,SBE_UNIT1,WHARTON,SOLAR,SOUTH,2023.0,233.5,233.5
DELILAH SOLAR 2,22INR0203,,LAMAR,SOLAR,NORTH,2025.0,0.0,0.0
DELILAH SOLAR 1,22INR0202,,LAMAR,SOLAR,NORTH,2024.0,0.0,0.0
ANCHOR WIND U1,21INR0546,ANCHOR_WIND1,CALLAHAN,WIND-O,WEST,2023.0,16.0,16.0
ANCHOR WIND U3,21INR0539,ANCHOR_WIND3,CALLAHAN,WIND-O,WEST,2023.0,90.0,90.0
ANCHOR WIND U4,21INR0539,ANCHOR_WIND4,CALLAHAN,WIND-O,WEST,2023.0,38.7,38.7
BLUE JAY SOLAR I,21INR0538,BLUEJAY_UNIT1,GRIMES,SOLAR,NORTH,2023.0,69.0,69.0
TIDWELL PRAIRIE STORAGE 1,21INR0517,,ROBERTSON,STORAGE,NORTH,2025.0,0.0,0.0
ROADRUNNER CROSSING WIND II,21INR0515,,EASTLAND,WIND-O,NORTH,2025.0,0.0,0.0
RAMSEY STORAGE,21INR0505,,WHARTON,STORAGE,SOUTH,2025.0,0.0,0.0
SKY SEALY,21INR0500,,AUSTIN,GAS-IC,SOUTH,2025.0,0.0,0.0
NEPTUNE SOLAR,21INR0499,,JACKSON,SOLAR,SOUTH,2025.0,0.0,0.0
STOCKYARD GRID BATT,21INR0492,,TARRANT,STORAGE,NORTH,2024.0,150.6,150.6
SAMSON SOLAR 3 U1,21INR0491,SAMSON_3_G1,LAMAR,SOLAR,NORTH,2023.0,125.0,125.0
SAMSON SOLAR 3 U2,21INR0491,SAMSON_3_G2,LAMAR,SOLAR,NORTH,2023.0,125.0,125.0
SAMSON SOLAR 2,21INR0490,,LAMAR,SOLAR,NORTH,2024.0,0.0,0.0
MUSTANG CREEK STORAGE,21INR0484,MUSTNGCK_BES1,JACKSON,STORAGE,SOUTH,2024.0,70.5,70.0
BIG STAR STORAGE,21INR0469,BIG_STAR_BESS,BASTROP,STORAGE,SOUTH,2024.0,80.0,80.0
APOGEE WIND U1,21INR0467,APOGEE_UNIT1,THROCKMORTON,WIND-O,WEST,2023.0,25.0,25.0
APOGEE WIND U2,21INR0467,APOGEE_UNIT2,THROCKMORTON,WIND-O,WEST,2023.0,14.0,14.0
APOGEE WIND U3,21INR0467,APOGEE_UNIT3,THROCKMORTON,WIND-O,WEST,2023.0,30.2,30.2
APOGEE WIND U4,21INR0467,APOGEE_UNIT4,THROCKMORTON,WIND-O,WEST,2023.0,115.0,115.0
APOGEE WIND U5,21INR0467,APOGEE_UNIT5,THROCKMORTON,WIND-O,WEST,2023.0,110.0,110.0
APOGEE WIND U6,21INR0467,APOGEE_UNIT6,THROCKMORTON,WIND-O,WEST,2023.0,24.0,24.0
APOGEE WIND U7,21INR0467,APOGEE_UNIT7,THROCKMORTON,WIND-O,WEST,2023.0,75.0,75.0
PORTER SOLAR,21INR0458,,DENTON,SOLAR,NORTH,2024.0,0.0,0.0
DANISH FIELDS STORAGE,21INR0450,,WHARTON,STORAGE,SOUTH,2024.0,150.0,150.0
LONG POINT STORAGE,21INR0444,,BRAZORIA,STORAGE,COASTAL,2025.0,0.0,0.0
COTTONWOOD BAYOU STORAGE,21INR0443,,BRAZORIA,STORAGE,COASTAL,2025.0,0.0,0.0
MYRTLE STORAGE U1,21INR0442,MYR_BES1,BRAZORIA,STORAGE,COASTAL,2024.0,76.93,76.3
MYRTLE STORAGE U2,21INR0442,MYR_BES2,BRAZORIA,STORAGE,COASTAL,2024.0,74.27,73.7
GOLINDA SOLAR,21INR0434                                                                                           ,GOLINDA_UNIT1,FALLS,SOLAR,NORTH,2023.0,101.1,100.3
GALLOWAY 2 SOLAR,21INR0431,GALLOWAY_SOLAR2,CONCHO,SOLAR,WEST,2023.0,111.1,110.0
NABATOTO SOLAR NORTH,21INR0428,,LEON,SOLAR,NORTH,2025.0,0.0,0.0
TIERRA BONITA SOLAR,21INR0424,,PECOS,SOLAR,WEST,2024.0,0.0,0.0
ARMADILLO SOLAR,21INR0421,,NAVARRO,SOLAR,NORTH,2025.0,0.0,0.0
BIG STAR SOLAR U1,21INR0413,BIG_STAR_UNIT1,BASTROP,SOLAR,SOUTH,2024.0,132.27,130.0
BIG STAR SOLAR U2,21INR0413,BIG_STAR_UNIT2,BASTROP,SOLAR,SOUTH,2024.0,70.83,70.0
BUFFALO CREEK (OLD 300 SOLAR CENTER) U1,21INR0406,BCK_UNIT1,FORT BEND,SOLAR,HOUSTON,2024.0,217.5,217.5
BUFFALO CREEK (OLD 300 SOLAR CENTER) U2,21INR0406,BCK_UNIT2,FORT BEND,SOLAR,HOUSTON,2024.0,221.3,221.3
YOUNG WIND U1,21INR0401,YNG_WND_UNIT1,YOUNG,WIND-O,WEST,2024.0,197.4,197.4
YOUNG WIND U2,21INR0401,YNG_WND_UNIT2,YOUNG,WIND-O,WEST,2024.0,152.28,152.3
YOUNG WIND U3,21INR0401,YNG_WND_UNIT3,YOUNG,WIND-O,WEST,2024.0,149.46,149.5
SUNRAY,21INR0395,,UVALDE,SOLAR,SOUTH,2024.0,0.0,0.0
TALITHA SOLAR,21INR0393,,JIM WELLS,SOLAR,SOUTH,2024.0,0.0,0.0
GRANDSLAM SOLAR,21INR0391,,ATASCOSA,SOLAR,SOUTH,2025.0,0.0,0.0
HOLLYWOOD SOLAR U1,21INR0389,HOL_UNIT1,WHARTON,SOLAR,SOUTH,2024.0,176.14,175.3
HOLLYWOOD SOLAR U2,21INR0389,HOL_UNIT2,WHARTON,SOLAR,SOUTH,2024.0,178.95,178.1
ANCHOR WIND U2,21INR0387,ANCHOR_WIND2,CALLAHAN,WIND-O,WEST,2023.0,98.9,98.9
ASH CREEK SOLAR,21INR0379,,HILL,SOLAR,NORTH,2025.0,0.0,0.0
ELIZA SOLAR,21INR0368,,KAUFMAN,SOLAR,NORTH,2024.0,0.0,0.0
OYSTERCATCHER SOLAR,21INR0362,,ELLIS,SOLAR,NORTH,2025.0,0.0,0.0
BIG ELM SOLAR,21INR0353,,BELL,SOLAR,NORTH,2024.0,0.0,0.0
7V SOLAR,21INR0351,,FAYETTE,SOLAR,SOUTH,2024.0,240.6,240.6
LUNIS CREEK SOLAR 1,21INR0344,,JACKSON,SOLAR,SOUTH,2025.0,0.0,0.0
SPACE CITY SOLAR,21INR0341,,WHARTON,SOLAR,SOUTH,2025.0,0.0,0.0
NIGHTFALL SOLAR,21INR0334,,UVALDE,SOLAR,SOUTH,2025.0,0.0,0.0
DOVE RUN SOLAR,21INR0326,,DUVAL,SOLAR,SOUTH,2026.0,0.0,0.0
SHEEP CREEK WIND,21INR0325,SHEEPCRK_UNIT1,EASTLAND,WIND-O,NORTH,2024.0,149.94,150.0
BOARD CREEK WP U1,21INR0324,BOARDCRK_UNIT1,NAVARRO,WIND-O,NORTH,2023.0,108.8,108.8
BOARD CREEK WP U2,21INR0324,BOARDCRK_UNIT2,NAVARRO,WIND-O,NORTH,2023.0,190.4,190.4
CROWN SOLAR,21INR0323,CRWN_SLR_UNIT1,FALLS,SOLAR,NORTH,,101.3,100.1
HALO SOLAR,21INR0304,,BELL,SOLAR,NORTH,2024.0,0.0,0.0
MANDORLA SOLAR,21INR0303,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
AUREOLA SOLAR,21INR0302,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
FIGHTING JAYS SOLAR U1,21INR0278,JAY_UNIT1,FORT BEND,SOLAR,HOUSTON,2023.0,179.5,179.6
FIGHTING JAYS SOLAR U2,21INR0278,JAY_UNIT2,FORT BEND,SOLAR,HOUSTON,2023.0,171.8,171.9
CAROL SOLAR,21INR0274,,POTTER,SOLAR,PANHANDLE,2025.0,0.0,0.0
GREYHOUND SOLAR,21INR0268,,ECTOR,SOLAR,WEST,2025.0,0.0,0.0
MONARCH CREEK WIND,21INR0263,,THROCKMORTON,WIND-O,WEST,2025.0,0.0,0.0
HORIZON SOLAR,21INR0261,HRZN_SLR_UNIT1,FRIO,SOLAR,SOUTH,2023.0,203.5,200.0
MERCURY I SOLAR,21INR0257,MERCURY_PV1,HILL,SOLAR,NORTH,2024.0,203.5,203.5
MERCURY I SOLAR,21INR0257,,HILL,SOLAR,NORTH,2024.0,206.1,206.1
AMSTERDAM SOLAR,21INR0256,,BRAZORIA,SOLAR,COASTAL,2025.0,0.0,0.0
ULYSSES SOLAR,21INR0253,,COKE,SOLAR,WEST,2025.0,0.0,0.0
LA CASA WIND,21INR0240,,STEPHENS,WIND-O,NORTH,2025.0,0.0,0.0
EQUINOX SOLAR 1,21INR0226,,STARR,SOLAR,SOUTH,2026.0,0.0,0.0
TULSITA SOLAR,21INR0223,,GOLIAD,SOLAR,SOUTH,2024.0,0.0,0.0
SAMSON SOLAR 1 U1,21INR0221,SAMSON_1_G1,LAMAR,SOLAR,NORTH,2023.0,125.0,125.0
SAMSON SOLAR 1 U2,21INR0221,SAMSON_1_G2,LAMAR,SOLAR,NORTH,2023.0,125.0,125.0
MALEZA SOLAR,21INR0220,,WHARTON,SOLAR,SOUTH,2024.0,0.0,0.0
ADAMSTOWN SOLAR,21INR0210,,WICHITA,SOLAR,WEST,2026.0,0.0,0.0
QUANTUM SOLAR,21INR0207,,HASKELL,SOLAR,WEST,2026.0,0.0,0.0
EASTBELL MILAM SOLAR,21INR0203,EBELLSLR_UNIT1,MILAM,SOLAR,SOUTH,2024.0,244.86,240.0
RED HOLLY STORAGE,21INR0033,,DAWSON,STORAGE,WEST,2026.0,0.0,0.0
INDIGO SOLAR,21INR0031,,FISHER,SOLAR,WEST,2024.0,0.0,0.0
GREEN HOLLY STORAGE,21INR0029,,DAWSON,STORAGE,WEST,2026.0,0.0,0.0
ZIER STORAGE,21INR0027,,KINNEY,STORAGE,SOUTH,2024.0,40.4,40.4
RED HOLLY SOLAR,21INR0022,,DAWSON,SOLAR,WEST,2026.0,0.0,0.0
GREEN HOLLY SOLAR,21INR0021,,DAWSON,SOLAR,WEST,2026.0,0.0,0.0
ZIER SOLAR,21INR0019,ZIER_SLR_PV1,KINNEY,SOLAR,SOUTH,2024.0,161.28,160.0
AIR PRODUCTS GCA,21INR0012,,GALVESTON,GAS-ST,HOUSTON,2024.0,14.0,14.0
TEXAS SOLAR NOVA 2 U1,20INR0269,NOVA2SLR_UNIT1,KENT,SOLAR,WEST,2024.0,200.65,200.0
TRES BAHIAS SOLAR,20INR0266,TREB_SLR_SOLAR1,CALHOUN,SOLAR,COASTAL,2023.0,196.29,195.0
RENEGADE PROJECT (DAWN SOLAR),20INR0255,,DEAF SMITH,SOLAR,PANHANDLE,2025.0,0.0,0.0
APPALOOSA RUN WIND U1,20INR0249,APPALOSA_UNIT1,UPTON,WIND-O,WEST,2024.0,157.9,157.9
APPALOOSA RUN WIND U2,20INR0249,APPALOSA_UNIT2,UPTON,WIND-O,WEST,2024.0,13.9,13.9
SECOND DIVISION SOLAR,20INR0248,,BRAZORIA,SOLAR,COASTAL,2024.0,0.0,0.0
RYAN ENERGY STORAGE,20INR0246,,CORYELL,STORAGE,NORTH,2024.0,0.0,0.0
CROWDED STAR SOLAR,20INR0241,,JONES,SOLAR,WEST,2026.0,0.0,0.0
OLD HICKORY SOLAR,20INR0236,,JACKSON,SOLAR,SOUTH,2025.0,0.0,0.0
MARKUM SOLAR,20INR0230,,MCLENNAN,SOLAR,NORTH,2025.0,0.0,0.0
TYSON NICK SOLAR,20INR0222,,LAMAR,SOLAR,NORTH,2024.0,0.0,0.0
CAROL WIND,20INR0217,,POTTER,WIND-P,PANHANDLE,2024.0,0.0,0.0
STARR SOLAR RANCH,20INR0216,,STARR,SOLAR,SOUTH,2024.0,0.0,0.0
HOPKINS SOLAR,20INR0210,HOPKNSLR_UNIT1,HOPKINS,SOLAR,NORTH,2023.0,175.35,174.76
HOPKINS SOLAR U2,20INR0210,HOPKNSLR_UNIT2,HOPKINS,SOLAR,NORTH,2023.0,76.17,75.8
HOPKINS SOLAR,20INR0210,,HOPKINS,SOLAR,NORTH,2023.0,253.1,253.1
SIGNAL SOLAR,20INR0208,,HUNT,SOLAR,NORTH,2025.0,0.0,0.0
ROSELAND SOLAR U1,20INR0205,ROSELAND_SOLAR1,FALLS,SOLAR,NORTH,2024.0,254.0,250.0
ROSELAND SOLAR U2,20INR0205,ROSELAND_SOLAR2,FALLS,SOLAR,NORTH,2024.0,167.9,165.3
PINE FOREST SOLAR,20INR0203,,HOPKINS,SOLAR,NORTH,2025.0,0.0,0.0
RUETER SOLAR,20INR0202,,BOSQUE,SOLAR,NORTH,2025.0,0.0,0.0
SODA LAKE SOLAR 1 SLF,20INR0143,,CRANE,SOLAR,WEST,2024.0,0.0,0.0
PLAINVIEW SOLAR (RAMSEY SOLAR) U1,20INR0130,PLN_UNIT1,WHARTON,SOLAR,SOUTH,2023.0,270.0,257.0
PLAINVIEW SOLAR (RAMSEY SOLAR) U2,20INR0130,PLN_UNIT2,WHARTON,SOLAR,SOUTH,2023.0,270.0,257.0
FOXTROT WIND U1,20INR0129,FOXTROT_UNIT1,BEE,WIND-O,SOUTH,2024.0,130.2,130.2
FOXTROT WIND U2,20INR0129,FOXTROT_UNIT2,BEE,WIND-O,SOUTH,2024.0,84.0,84.0
FOXTROT WIND U3,20INR0129,FOXTROT_UNIT3,BEE,WIND-O,SOUTH,2024.0,54.0,54.0
VORTEX WIND U1,20INR0120,VORTEX_WIND1,THROCKMORTON,WIND-O,WEST,2023.0,153.6,153.6
VORTEX WIND U2,20INR0120,VORTEX_WIND2,THROCKMORTON,WIND-O,WEST,2023.0,24.2,24.2
VORTEX WIND U3,20INR0120,VORTEX_WIND3,THROCKMORTON,WIND-O,WEST,2023.0,158.4,158.4
VORTEX WIND U4,20INR0120,VORTEX_WIND4,THROCKMORTON,WIND-O,WEST,2023.0,14.0,14.0
EL SUAZ RANCH U1,20INR0097,ELSAUZ_UNIT1,WILLACY,WIND-C,COASTAL,2023.0,153.0,153.0
EL SUAZ RANCH U2,20INR0097,ELSAUZ_UNIT2,WILLACY,WIND-C,COASTAL,2023.0,148.5,148.5
FAGUS SOLAR PARK (MISAE SOLAR II),20INR0091,,CHILDRESS,SOLAR,PANHANDLE,2025.0,0.0,0.0
ARROYO SOLAR,20INR0086,,CAMERON,SOLAR,COASTAL,2024.0,0.0,0.0
BAIRD NORTH WIND U1,20INR0083,BAIRDWND_UNIT1,CALLAHAN,WIND-O,WEST,2025.0,195.0,195.0
BAIRD NORTH WIND U2,20INR0083,BAIRDWND_UNIT2,CALLAHAN,WIND-O,WEST,2025.0,145.0,145.0
FRYE SOLAR U1,20INR0080,FRYE_SLR_UNIT1,SWISHER,SOLAR,PANHANDLE,2024.0,250.9,250.0
FRYE SOLAR U2,20INR0080,FRYE_SLR_UNIT2,SWISHER,SOLAR,PANHANDLE,2024.0,251.1,250.0
DANISH FIELDS SOLAR U1,20INR0069,DAN_UNIT1,WHARTON,SOLAR,SOUTH,2023.0,301.3,300.0
DANISH FIELDS SOLAR U2,20INR0069,DAN_UNIT2,WHARTON,SOLAR,SOUTH,2023.0,151.0,150.2
DANISH FIELDS SOLAR U3,20INR0069,DAN_UNIT3,WHARTON,SOLAR,SOUTH,2023.0,150.5,149.8
CASTRO SOLAR,20INR0050,,CASTRO,SOLAR,PANHANDLE,2025.0,0.0,0.0
SIETE,20INR0047,,WEBB,WIND-O,SOUTH,2026.0,0.0,0.0
MONTGOMERY RANCH WIND,20INR0040,,FOARD,WIND-O,WEST,2024.0,0.0,0.0
ANGUS SOLAR,20INR0035,,BOSQUE,SOLAR,NORTH,2025.0,0.0,0.0
WILDWIND U1,20INR0033,WILDWIND_UNIT1,COOKE,WIND-O,NORTH,2023.0,18.38,18.4
WILDWIND U2,20INR0033,WILDWIND_UNIT2,COOKE,WIND-O,NORTH,2023.0,48.0,48.0
WILDWIND U3,20INR0033,WILDWIND_UNIT3,COOKE,WIND-O,NORTH,2023.0,6.3,6.3
WILDWIND U4,20INR0033,WILDWIND_UNIT4,COOKE,WIND-O,NORTH,2023.0,54.6,54.6
WILDWIND U5,20INR0033,WILDWIND_UNIT5,COOKE,WIND-O,NORTH,2023.0,52.8,52.8
SPINEL SOLAR,20INR0025,,MEDINA,SOLAR,SOUTH,2024.0,0.0,0.0
AGATE SOLAR,20INR0023,,ELLIS,SOLAR,NORTH,2020.0,60.0,60.0
ANGELO SOLAR,19INR0203,,TOM GREEN,SOLAR,WEST,2024.0,0.0,0.0
CRAWFISH,19INR0177,,WHARTON,WIND-O,SOUTH,2024.0,159.0,159.0
SUN VALLEY U1,19INR0169,SUNVASLR_UNIT1,HILL,SOLAR,NORTH,2023.0,165.75,165.8
SUN VALLEY U2,19INR0169,SUNVASLR_UNIT2,HILL,SOLAR,NORTH,2023.0,86.19,86.2
MORROW LAKE SOLAR,19INR0155,,FRIO,SOLAR,SOUTH,2024.0,0.0,0.0
COTTONWOOD BAYOU SOLAR I,19INR0134,,BRAZORIA,SOLAR,COASTAL,2024.0,0.0,0.0
ROADRUNNER CROSSING WIND 1,19INR0117,,EASTLAND,WIND-O,NORTH,2025.0,0.0,0.0
AZALEA SPRINGS SOLAR,19INR0110,,ANGELINA,SOLAR,NORTH,2025.0,0.0,0.0
RODEO SOLAR,19INR0103,,ANDREWS,SOLAR,WEST,2025.0,0.0,0.0
PRAIRIE HILL WIND U1,19INR0100,PHILLWND_UNIT1,LIMESTONE,WIND-O,NORTH,2023.0,153.0,153.0
PRAIRIE HILL WIND U2,19INR0100,PHILLWND_UNIT2,LIMESTONE,WIND-O,NORTH,2023.0,147.0,147.0
KONTIKI 2 WIND (ERNEST),19INR0099b,,GLASSCOCK,WIND-O,WEST,2023.0,250.1,250.1
KONTIKI 1 WIND (ERIK),19INR0099a,,GLASSCOCK,WIND-O,WEST,2023.0,250.1,250.1
BLUE JAY SOLAR II,19INR0085,BLUEJAY_UNIT2,GRIMES,SOLAR,NORTH,2023.0,141.0,141.0
WHITEHORSE WIND U1,19INR0080,WH_WIND_UNIT1,FISHER,WIND-O,WEST,2024.0,209.4,209.4
WHITEHORSE WIND U2,19INR0080,WH_WIND_UNIT2,FISHER,WIND-O,WEST,2024.0,209.5,209.5
MONTE CRISTO 1 WIND,19INR0054,,HIDALGO,WIND-O,SOUTH,2025.0,0.0,0.0
LONG POINT SOLAR,19INR0042,,BRAZORIA,SOLAR,COASTAL,2025.0,0.0,0.0
MYRTLE SOLAR U1,19INR0041,MYR_UNIT1,BRAZORIA,SOLAR,COASTAL,2023.0,171.6,167.2
MYRTLE SOLAR U2,19INR0041,MYR_UNIT2,BRAZORIA,SOLAR,COASTAL,2023.0,149.6,145.8
NORTON SOLAR,19INR0035,,RUNNELS,SOLAR,WEST,2025.0,0.0,0.0
MONTE ALTO 2 WIND,19INR0023,,WILLACY,WIND-C,COASTAL,2025.0,0.0,0.0
MONTE ALTO I WIND,19INR0022,,WILLACY,WIND-C,COASTAL,2025.0,0.0,0.0
TEXAS SOLAR NOVA U1,19INR0001,NOVA1SLR_UNIT1,KENT,SOLAR,WEST,2023.0,126.81,126.0
TEXAS SOLAR NOVA U2,19INR0001,NOVA1SLR_UNIT2,KENT,SOLAR,WEST,2023.0,126.7,126.0
